References,Value,Footprint,Quantity,Unit_Price_Est_USD,Total_Est_USD,Supplier_Part_Number,Notes
L1,0.10uH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,,,,
R2,1.5k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,,,,
R11,10,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,,,,
L2,1500nH,L_0603_1608Metric,1,,,,
"C5,C7,C9",1u,C_0402_1005Metric,3,,,,
"C1,C4",2.2u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,,,,
C8,22u,C_0603_1608Metric,1,,,,
R5,3.3,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,,,,
R23,33,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,,,,
"C2,C3",330pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2,,,,
R1,50,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,,,,
R7,5k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,,,,
R3,68,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,,,,
J2,Conn_Coaxial,SMB_Jack_Vertical,1,,,,
U1,OPA847IDBVT,OPA847IDBVT,1,,,,
D1,SIPM,S14420,1,,,,
J1,SSQ-103-01-G-D,PinHeader_2x03_P2.54mm_Vertical,1,,,,
